"order_id","customer_id","restaurant","meal_name","address","state_code","order_time","customer_subscription","price_in_order","total_quantity","gender","day_period","weekday","date"
"order_22","id_124","Gouda Grill","Gravy Mix","Heerlen","NH","07","Premium","8.44","2","F","morning","Tuesday","26-04-2022"
"order_23","id_3047","Rotterdam Roasts","Bacalhau a Bras","Zandvoort","NH","20","Premium","14.27","2","F","evening","Thursday","28-04-2022"
"order_24","id_2673","Hague Harvest","Vermouth","Gouda","NH","12","Premium","11.27","2","F","noon","Tuesday","03-05-2022"
"order_25","id_4259","Gouda Gourmet","Tiramisu","Gouda","NH","06","Premium","12.68","2","F","morning","Wednesday","04-05-2022"
"order_26","id_8181","Dutch Dining","Smorrebrod","Almere","NH","05","Premium","9.47","2","F","morning","Thursday","05-05-2022"
"order_27","id_8020","Taste of the Tulips","Salsa Mix","Alkmaar","NH","16","Premium","12.0","2","M","afternoon","Friday","06-05-2022"
"order_28","id_8419","Windmill Bites","Ready-to-Eat Sandwich","Roermond","NH","16","Premium","10.93","2","M","afternoon","Tuesday","10-05-2022"
"order_29","id_6294","Holland Eats","Limonata","Alkmaar","NH","13","Basic","13.76","2","M","afternoon","Wednesday","18-05-2022"
"order_30","id_844","Hague Harvest","Aubergine Parmigiana","Zutphen","NH","04","Basic","4.29","2","F","late_night","Tuesday","24-05-2022"
"order_31","id_6712","Netherlands Nosh","Wienerschnitzel","Haarlem","NH","19","Premium","11.44","2","F","evening","Thursday","02-06-2022"
"order_32","id_8669","Windmill Bites","Aubergine Parmigiana","Utrecht","NH","07","Basic","10.36","2","F","morning","Sunday","12-06-2022"
"order_33","id_248","Amsterdam Aromas","BBQ Sauce Mix","Zeewolde","NH","11","Premium","12.44","2","M","morning","Wednesday","15-06-2022"
"order_34","id_1848","Tulip Treats","Bellini","Middelburg","NH","15","Basic","4.76","2","M","afternoon","Thursday","23-06-2022"
"order_35","id_2163","Taste of Tulips","Rosso","Dronten","NH","02","Premium","11.91","2","M","late_night","Friday","24-06-2022"
"order_36","id_9492","Windmill Whispers","Schnitzel","Gouda","NH","12","Basic","4.98","2","M","noon","Tuesday","28-06-2022"
"order_37","id_8198","Clog Cafe","Lecso","Roermond","NH","12","Basic","10.25","2","M","noon","Tuesday","05-07-2022"
"order_38","id_5223","Rotterdam Roasts","Salade Nicoise","Leiden","NH","06","Basic","14.49","2","M","morning","Friday","08-07-2022"
"order_39","id_3045","Tulip Treats","Limoncino","Enkhuizen","NH","17","Basic","6.56","2","M","afternoon","Monday","11-07-2022"
"order_40","id_1073","Taste of the Tulips","Aperol Spritz","Assen","NH","16","Basic","5.87","2","F","afternoon","Sunday","17-07-2022"
"order_41","id_3729","Windmill Whispers","Gassosa","Zeewolde","NH","19","Basic","7.81","2","F","evening","Monday","25-07-2022"
"order_42","id_371","Delft Delights","Quinoa","The Hague","NH","07","Basic","6.18","2","F","morning","Saturday","30-07-2022"
"order_43","id_2438","Canal Cuisine","Limoncello Spritz","Sittard","NH","02","Basic","4.93","2","F","late_night","Monday","01-08-2022"
"order_44","id_7939","Holland Hors d'oeuvres","Tete de Moine","Almere","NH","17","Premium","14.94","2","F","afternoon","Thursday","04-08-2022"
"order_45","id_229","Utrecht Utopia","Irish Coffee","Zutphen","NH","15","Basic","11.87","2","M","afternoon","Sunday","07-08-2022"
"order_46","id_5007","Canal Cuisine","Soup Mix","Assen","NH","01","Premium","7.9","2","F","late_night","Thursday","11-08-2022"
"order_47","id_142","Dutch Dining","Langos","Delft","NH","07","Basic","11.31","2","F","morning","Tuesday","16-08-2022"
"order_48","id_6256","Orange Oasis","Ranch Dressing Mix","Middelburg","NH","23","Basic","12.8","2","M","night","Friday","09-09-2022"
"order_49","id_1154","Dutch Dining","Sambuca","Almere","NH","13","Basic","10.64","2","M","afternoon","Friday","09-09-2022"
"order_50","id_7554","Dutch Dainties","Pyttipanna","Rotterdam","NH","15","Basic","16.95","2","M","afternoon","Friday","09-09-2022"
"order_51","id_7129","Canal City Cuisine","Digestivo","Utrecht","NH","07","Basic","8.48","2","F","morning","Saturday","17-09-2022"
"order_52","id_2024","Windmill Bites","Mamaliga","Apeldoorn","NH","05","Basic","9.56","2","M","morning","Tuesday","20-09-2022"
"order_53","id_2461","Netherlands Nibbles","Spanakopita","Maastricht","NH","06","Basic","13.51","2","F","morning","Wednesday","21-09-2022"
"order_54","id_4423","Canal Cuisine","Bean Salad Mix","Eindhoven","NH","20","Basic","9.33","2","M","evening","Sunday","25-09-2022"
"order_55","id_1431","Pancake Palace","Vermouth","Heerlen","NH","01","Basic","8.6","2","F","late_night","Friday","30-09-2022"
"order_56","id_2995","Utrecht Utopia","Wiener Wurstchen","Volendam","NH","18","Premium","6.4","2","M","evening","Wednesday","05-10-2022"
"order_57","id_7016","Delft Delights","Muffin Mix","Amstelveen","NH","22","Basic","15.8","2","M","night","Wednesday","05-10-2022"
"order_58","id_9217","Countryside Cookery","Gyros","Maastricht","NH","14","Basic","4.85","2","F","afternoon","Friday","07-10-2022"
"order_59","id_5340","Utrecht Utopia","Tabouleh Mix","Texel","NH","08","Basic","12.11","2","F","morning","Saturday","08-10-2022"
"order_60","id_8704","Netherlands Noms","Cake Frosting Mix","Dronten","NH","19","Basic","12.01","2","F","evening","Thursday","20-10-2022"
"order_61","id_169","Orange Oasis","Lurisia","Arnhem","NH","22","Basic","13.66","2","M","night","Thursday","20-10-2022"
"order_62","id_8399","Orange Oasis","Pudding","Zandvoort","NH","05","Premium","15.15","2","M","morning","Monday","24-10-2022"
"order_63","id_1111","Dutch Dainties","Pie Crust Mix","Groningen","NH","13","Basic","14.09","2","F","afternoon","Tuesday","25-10-2022"
"order_64","id_522","Amsterdam Aromas","Amaretto Sour","Assen","NH","12","Basic","7.7","2","F","noon","Wednesday","26-10-2022"
"order_65","id_8557","Dutch Delights","Bratwurst","Hilversum","NH","08","Premium","12.98","2","M","morning","Friday","28-10-2022"
"order_66","id_4144","Gouda Grill","Chinotto","Hoofddorp","NH","02","Basic","6.08","2","F","late_night","Friday","04-11-2022"
"order_67","id_7024","Hague Harvest","Gassosa","Enschede","NH","11","Premium","9.18","2","M","morning","Saturday","12-11-2022"
"order_68","id_1072","Friesland Fusion","Gravy Mix","Dronten","NH","03","Premium","16.54","2","F","late_night","Saturday","12-11-2022"
"order_69","id_8010","Windmill Bites","Microwave Macaroni","Haarlemmermeer","NH","22","Basic","14.6","2","F","night","Sunday","13-11-2022"
"order_70","id_1039","Pancake Palace","Tonica","Emmen","NH","14","Basic","10.54","2","F","afternoon","Monday","14-11-2022"
"order_71","id_6581","Heerlen Harvest","Gibanica","Alkmaar","NH","18","Premium","8.39","2","F","evening","Friday","18-11-2022"
"order_72","id_7090","Dyke Delights","Gravy Mix","Zutphen","NH","19","Basic","8.74","2","F","evening","Saturday","19-11-2022"
"order_73","id_2913","Utrecht Utopia","Fernet-Branca","Sittard","NH","03","Premium","14.26","2","M","late_night","Monday","21-11-2022"
"order_74","id_615","Hague Harvest","Brio","Amstelveen","NH","05","Basic","11.55","2","M","morning","Wednesday","23-11-2022"
"order_75","id_3915","Tasty Tides","Frikadeller","Emmen","NH","01","Premium","14.49","2","M","late_night","Friday","25-11-2022"
"order_76","id_4156","Holland Hors d'oeuvres","Macchiato","Gouda","NH","06","Premium","6.56","2","F","morning","Saturday","26-11-2022"
"order_77","id_6908","Tasty Tides","Bianco","Assen","NH","20","Premium","12.45","2","F","evening","Sunday","27-11-2022"
"order_78","id_4639","Dutch Delights","Rosso","Arnhem","NH","09","Premium","16.79","2","M","morning","Monday","05-12-2022"
"order_79","id_7939","Utrecht Utopia","Mediterranean Salad","The Hague","NH","17","Premium","13.06","2","F","afternoon","Friday","09-12-2022"
"order_80","id_4446","Dutch Diners","Microwave Pizza","Tilburg","NH","05","Basic","8.04","2","M","morning","Sunday","11-12-2022"
"order_81","id_3370","Countryside Cookery","Rosti","Gouda","NH","17","Basic","9.3","2","M","afternoon","Monday","12-12-2022"
"order_82","id_9999","Amsterdam Aromas","Chicken Salad Mix","Volendam","NH","22","Basic","10.2","2","F","night","Monday","19-12-2022"
"order_83","id_8936","Dutch Dainties","Gibanica","Apeldoorn","NH","15","Basic","6.67","2","F","afternoon","Wednesday","21-12-2022"
"order_84","id_8918","Zaan Zest","Bianco","Maastricht","NH","14","Basic","4.27","2","M","afternoon","Tuesday","27-12-2022"
"order_85","id_9719","Rotterdam Roasts","Raclette","Zeewolde","NH","05","Basic","6.75","2","F","morning","Saturday","31-12-2022"
"order_86","id_1097","Rotterdam Roasts","Limoncino","Roermond","NH","06","Premium","7.78","2","M","morning","Saturday","14-01-2023"
"order_87","id_9365","Orange Oasis","Acqua Minerale","Hilversum","NH","12","Premium","9.36","2","M","noon","Monday","23-01-2023"
"order_88","id_6070","Cheese Chalet","Liquore Strega","Lelystad","NH","09","Premium","5.11","2","F","morning","Monday","23-01-2023"
"order_89","id_9213","Dutch Delights","Lurisia","Texel","NH","04","Premium","16.55","2","F","late_night","Monday","30-01-2023"
"order_90","id_8894","Countryside Cookery","Cappuccino","Zeewolde","NH","05","Basic","4.9","2","F","morning","Monday","06-02-2023"
"order_91","id_3273","Dutch Delicacies","Vino","Heerlen","NH","16","Basic","16.23","2","F","afternoon","Friday","10-02-2023"
"order_92","id_1040","Dyke Delights","Vermouth","Groningen","NH","18","Premium","8.44","2","M","evening","Friday","17-02-2023"
"order_93","id_1745","Dutch Delicacies","Italian Soda","Nijmegen","NH","14","Basic","15.02","2","F","afternoon","Saturday","18-02-2023"
"order_94","id_6051","Leeuwarden Feasts","Limoncello","Heerlen","NH","14","Premium","13.94","2","F","afternoon","Saturday","18-02-2023"
"order_95","id_690","Holland Hors d'oeuvres","Hot Chocolate","Tilburg","NH","05","Basic","9.9","2","F","morning","Sunday","19-02-2023"
"order_96","id_5639","Dutch Delicacies","Lingonberry Jam","Apeldoorn","NH","22","Premium","13.51","2","F","night","Sunday","19-02-2023"
"order_97","id_372","Waffle Wharf","Tabouleh Mix","Utrecht","NH","23","Premium","16.36","2","F","night","Thursday","23-02-2023"
"order_98","id_9760","Hague Harvest","Bagna Cauda","Enschede","NH","04","Premium","7.8","2","F","late_night","Tuesday","28-02-2023"
"order_99","id_5582","Dyke Delights","Irish Coffee","Texel","NH","05","Basic","16.16","2","F","morning","Sunday","05-03-2023"
"order_100","id_982","Windmill Whispers","Aperitivo","Middelburg","NH","19","Premium","10.07","2","M","evening","Sunday","05-03-2023"
"order_101","id_879","Canal City Cuisine","Galette Complete","Groningen","NH","20","Premium","11.01","2","F","evening","Wednesday","08-03-2023"
"order_102","id_7233","Heerlen Harvest","Pasta","Lelystad","NH","15","Premium","9.55","2","F","afternoon","Thursday","23-03-2023"
"order_103","id_5493","Canal Cuisine","Croissant","Emmen","NH","12","Premium","16.84","2","F","noon","Saturday","25-03-2023"
"order_104","id_717","Bicycle Bites","Sauerbraten","Zwolle","NH","19","Premium","12.23","2","M","evening","Monday","27-03-2023"
"order_105","id_6982","Rotterdam Roasts","Cynar","Dronten","NH","00","Basic","11.61","2","F","late_night","Saturday","01-04-2023"
"order_106","id_9997","Dutch Diners","Fernet-Branca","Zwolle","NH","09","Premium","4.85","2","M","morning","Tuesday","04-04-2023"
"order_107","id_1863","Orange Oasis","Extra Dry","Rotterdam","NH","17","Premium","15.73","2","F","afternoon","Wednesday","05-04-2023"
"order_108","id_3175","Taste of Tulips","Bread Mix","Amstelveen","NH","03","Basic","16.59","2","M","late_night","Friday","07-04-2023"
"order_109","id_2586","Canal City Cuisine","Creme Brulee","Sittard","NH","01","Premium","12.15","2","F","late_night","Friday","14-04-2023"
"order_110","id_7273","Waffle Warehouse","Sambuca","Eindhoven","NH","10","Basic","11.32","2","F","morning","Sunday","30-04-2023"
"order_111","id_2396","Taste of the Tulips","Cevapi","Haarlemmermeer","NH","03","Basic","9.31","2","M","late_night","Monday","01-05-2023"
"order_112","id_5645","Hague Harvest","Raclette","Breda","NH","02","Premium","9.2","2","M","late_night","Friday","05-05-2023"
"order_113","id_100","Tasty Tides","Acqua Minerale","Zutphen","NH","10","Basic","9.92","2","F","morning","Monday","08-05-2023"
"order_114","id_9930","Friesland Fusion","Aranciata","Arnhem","NH","18","Premium","11.93","2","M","evening","Tuesday","16-05-2023"
"order_115","id_117","Tulip Tidbits","Ricotta Gnocchi","Assen","NH","09","Premium","11.45","2","M","morning","Thursday","18-05-2023"
"order_116","id_6099","Utrecht Utopia","Microwave Popcorn","Rotterdam","NH","02","Premium","10.42","2","F","late_night","Wednesday","24-05-2023"
"order_117","id_9154","Dutch Dining","Cabbage Rolls","Breda","NH","10","Premium","11.46","2","M","morning","Thursday","01-06-2023"
"order_118","id_6926","Holland Hors d'oeuvres","Lentil Salad Mix","Assen","NH","11","Premium","6.53","2","F","morning","Thursday","08-06-2023"
"order_119","id_7546","Tasty Tides","Omelette","Middelburg","NH","17","Basic","6.12","2","M","afternoon","Saturday","10-06-2023"
"order_120","id_5992","Dutch Delicacies","Gravy Mix","Amstelveen","NH","08","Basic","5.59","2","M","morning","Sunday","25-06-2023"
"order_121","id_5651","Taste of the Tulips","Chinotto","Sittard","NH","10","Premium","12.66","2","F","morning","Wednesday","05-07-2023"
"order_122","id_5196","Canal City Cuisine","Soup Mix","Tilburg","NH","19","Basic","7.25","2","F","evening","Sunday","16-07-2023"
"order_123","id_7678","Cheese Corner","Brownie Mix","Haarlemmermeer","NH","05","Premium","4.99","2","F","morning","Monday","17-07-2023"
"order_124","id_9744","Amsterdam Aromas","Pizzoccheri","Almere","NH","18","Premium","9.69","2","F","evening","Tuesday","18-07-2023"
"order_125","id_7497","Gouda Grill","Fasolada","Maastricht","NH","07","Premium","15.06","2","F","morning","Wednesday","19-07-2023"
"order_126","id_1590","Pancake Palace","Kottbullar","Zeewolde","NH","04","Premium","5.43","2","M","late_night","Thursday","20-07-2023"
"order_127","id_5071","Windmill Whispers","Affogato","Apeldoorn","NH","00","Premium","4.67","2","F","late_night","Friday","21-07-2023"
"order_128","id_8604","Tulip Treats","Cedrata","Eindhoven","NH","11","Premium","5.86","2","F","morning","Sunday","23-07-2023"
"order_129","id_1915","Netherlands Nibbles","Italian Soda","Groningen","NH","20","Premium","6.89","2","M","evening","Tuesday","01-08-2023"
"order_130","id_59","Waffle Wharf","Vermouth","Nijmegen","NH","16","Basic","15.03","2","M","afternoon","Wednesday","02-08-2023"
"order_131","id_8697","Zaan Zest","Microwave Lasagna","Roermond","NH","14","Basic","11.32","2","M","afternoon","Wednesday","02-08-2023"
"order_132","id_9316","Cheese Corner","Sauerbraten","Breda","NH","19","Premium","8.08","2","M","evening","Sunday","20-08-2023"
"order_133","id_2927","Dutch Diners","Vermouth","Alkmaar","NH","06","Basic","11.0","2","M","morning","Tuesday","22-08-2023"
"order_134","id_6429","Amsterdam Aromas","Granita","Hilversum","NH","17","Premium","15.79","2","F","afternoon","Friday","25-08-2023"
"order_135","id_5711","Gouda Gourmet","Protein Shake Mix","Hilversum","NH","05","Premium","12.93","2","M","morning","Wednesday","30-08-2023"
"order_136","id_5755","Tasty Tides","Lecso","Amsterdam","NH","13","Premium","5.92","2","F","afternoon","Tuesday","05-09-2023"
"order_137","id_4184","Pancake Palace","Bakewell Tart","Zwolle","NH","12","Basic","7.0","2","M","noon","Thursday","07-09-2023"
"order_138","id_1069","Zaan Zest","Lingonberry Jam","Roermond","NH","08","Basic","10.31","2","F","morning","Thursday","07-09-2023"
"order_139","id_3016","Netherlands Nibbles","Birra","Enkhuizen","NH","19","Basic","8.59","2","M","evening","Saturday","09-09-2023"
"order_140","id_5267","Cheese Corner","Cynar","Leiden","NH","11","Premium","9.09","2","M","morning","Tuesday","12-09-2023"
"order_141","id_521","Dutch Dainties","Borscht","Groningen","NH","02","Basic","11.95","2","M","late_night","Tuesday","12-09-2023"
"order_142","id_4488","Dyke Delights","Tomato Sauce Mix","Delft","NH","15","Premium","10.12","2","M","afternoon","Wednesday","13-09-2023"
"order_143","id_5254","Dutch Dining","Wiener Wurstchen","Hilversum","NH","02","Premium","10.96","2","M","late_night","Wednesday","13-09-2023"
"order_144","id_3402","Tulip Treats","Sambuca","Dronten","NH","12","Basic","12.05","2","M","noon","Thursday","14-09-2023"
"order_145","id_5943","Dutch Dining","Jello Mix","Haarlemmermeer","NH","23","Basic","11.92","2","M","night","Sunday","17-09-2023"
"order_146","id_1416","Bicycle Bistro","Pie Crust Mix","Haarlemmermeer","NH","12","Basic","8.87","2","M","noon","Tuesday","19-09-2023"
"order_147","id_9750","Gouda Grill","Noodles","Heerlen","NH","10","Premium","10.33","2","F","morning","Saturday","23-09-2023"
"order_148","id_9993","Bicycle Bistro","Microwave Pizza","Texel","NH","05","Basic","7.37","2","F","morning","Saturday","23-09-2023"
"order_149","id_2779","Clog Cafe","Beef Broth","Apeldoorn","NH","20","Basic","9.22","2","F","evening","Monday","25-09-2023"
"order_150","id_8215","Netherlands Noms","Burek","The Hague","NH","09","Premium","15.99","2","M","morning","Monday","02-10-2023"
"order_151","id_775","Maastricht Morsels","Granita","Delft","NH","06","Premium","8.88","2","F","morning","Friday","06-10-2023"
"order_152","id_1544","Dutch Dining","Amaro","Leeuwarden","NH","23","Premium","8.0","2","M","night","Sunday","08-10-2023"
"order_153","id_4954","Netherlands Noms","Moussaka","Zaanstad","NH","14","Basic","8.73","2","M","afternoon","Friday","13-10-2023"
"order_154","id_6197","Dutch Dainties","Ranch Dressing Mix","Emmen","NH","05","Premium","16.45","2","F","morning","Monday","23-10-2023"
"order_155","id_9729","Canal City Cuisine","Turkish Delight","Zandvoort","NH","09","Basic","14.93","2","F","morning","Tuesday","24-10-2023"
"order_156","id_4448","Tasty Tides","Chili Mix","Texel","NH","13","Basic","11.65","2","F","afternoon","Wednesday","25-10-2023"
"order_157","id_3971","Cheese Chalet","Goulash","Groningen","NH","06","Premium","10.9","2","M","morning","Sunday","29-10-2023"
"order_158","id_4268","Waffle Warehouse","Quinoa","Zeewolde","NH","02","Premium","7.17","2","M","late_night","Tuesday","31-10-2023"
"order_159","id_2643","Hague Harvest","Ready-to-Eat Curry","Haarlemmermeer","NH","04","Basic","12.18","2","F","late_night","Friday","03-11-2023"
"order_160","id_8037","Netherlands Nosh","Microwave Popcorn","Amstelveen","NH","07","Basic","7.63","2","F","morning","Thursday","09-11-2023"
"order_161","id_4372","Canal Cuisine","Frullato","Haarlem","NH","14","Premium","13.96","2","F","afternoon","Thursday","09-11-2023"
"order_162","id_3171","Amsterdam Aromas","Churros","Emmen","NH","16","Premium","11.54","2","F","afternoon","Friday","10-11-2023"
"order_163","id_5951","Netherlands Nibbles","Lemonade Mix","Delft","NH","00","Premium","16.12","2","M","late_night","Monday","27-11-2023"
"order_164","id_6789","Dutch Delights","Birra","Utrecht","NH","02","Premium","9.27","2","M","late_night","Tuesday","28-11-2023"
"order_165","id_3782","Utrecht Utopia","Lapland Cheese","Zwolle","NH","02","Premium","4.97","2","F","late_night","Friday","01-12-2023"
"order_166","id_609","Tulip Treats","Sanbitter","Texel","NH","18","Premium","8.76","2","M","evening","Sunday","03-12-2023"
"order_167","id_7762","Clog Cafe","Bagna Cauda","Tilburg","NH","18","Premium","10.51","2","F","evening","Tuesday","12-12-2023"
"order_168","id_65","Gouda Grill","Amaretto Sour","Leeuwarden","NH","20","Premium","4.59","2","M","evening","Friday","25-02-2022"
"order_169","id_6602","Netherlands Nosh","Aranciata","Assen","NH","12","Basic","7.87","2","M","noon","Saturday","12-03-2022"
"order_170","id_2164","Netherlands Noms","Kottbullar","Assen","NH","21","Premium","8.6","2","M","evening","Thursday","17-03-2022"
"order_171","id_186","Clog Cafe","Aranciata","Gouda","NH","13","Premium","9.64","2","F","afternoon","Wednesday","23-03-2022"
"order_172","id_9966","Cheese Chalet","Liquore Strega","Almere","NH","21","Premium","7.27","2","M","evening","Sunday","27-03-2022"
"order_173","id_5429","Waffle Wharf","Birra","The Hague","NH","02","Premium","4.43","2","M","late_night","Monday","28-03-2022"
"order_174","id_1363","Netherlands Noms","Vino","Enschede","NH","10","Basic","6.71","2","M","morning","Tuesday","29-03-2022"
"order_175","id_1978","Dyke Delicacies","Bianco","Haarlem","NH","23","Basic","5.3","2","F","night","Wednesday","30-03-2022"
"order_176","id_7731","Netherlands Nibbles","Smorgastarta","Gouda","NH","07","Basic","14.88","2","M","morning","Saturday","02-04-2022"
"order_177","id_1207","Utrecht Utopia","Pho","Groningen","NH","16","Basic","9.05","2","F","afternoon","Monday","04-04-2022"
"order_178","id_141","Friesland Fusion","Wiener Wurstchen","Sittard","NH","23","Basic","9.62","2","F","night","Wednesday","13-04-2022"
"order_179","id_9545","Delft Delights","BBQ Sauce Mix","Zeewolde","NH","06","Premium","10.6","2","F","morning","Thursday","14-04-2022"
"order_180","id_7640","Dyke Delicacies","Ristretto","Alkmaar","NH","12","Basic","13.25","2","F","noon","Thursday","21-04-2022"
"order_181","id_5215","Pancake Palace","Cabbage Rolls","Hilversum","NH","00","Premium","7.19","2","F","late_night","Monday","25-04-2022"
"order_182","id_4059","Heerlen Harvest","Sanbitter","Amsterdam","NH","12","Basic","6.73","2","F","noon","Thursday","05-05-2022"
"order_183","id_3236","Polder Patisserie","Pyttipanna","Texel","NH","01","Basic","14.65","2","M","late_night","Thursday","12-05-2022"
"order_184","id_8735","Bicycle Bites","Cream of Mushroom Soup","Haarlemmermeer","NH","15","Basic","4.42","2","F","afternoon","Tuesday","24-05-2022"
"order_185","id_9660","Amsterdam Aromas","Aebleskiver","Zutphen","NH","13","Premium","15.15","2","F","afternoon","Thursday","26-05-2022"
"order_186","id_3825","Gouda Gourmet","Potato Latkes","Zutphen","NH","12","Premium","10.78","2","F","noon","Wednesday","01-06-2022"
"order_187","id_7308","Holland Eats","Cider","Zeewolde","NH","18","Premium","5.01","2","M","evening","Sunday","05-06-2022"
"order_188","id_9065","Dutch Diners","Fish and Chips","Zaanstad","NH","22","Premium","13.83","2","M","night","Saturday","11-06-2022"
"order_189","id_8993","Cheese Chalet","Fish Broth","Enkhuizen","NH","20","Basic","8.19","2","F","evening","Saturday","11-06-2022"
"order_190","id_9271","Clog Cafe","Soup Mix","Enschede","NH","09","Premium","4.95","2","M","morning","Saturday","11-06-2022"
"order_191","id_3385","Cheese Chalet","Lurisia","Hoofddorp","NH","16","Basic","8.51","2","M","afternoon","Monday","13-06-2022"
"order_192","id_916","Waffle Wharf","Burek","Gouda","NH","22","Premium","13.3","2","F","night","Friday","17-06-2022"
"order_193","id_9469","Orange Oasis","Aranciata","Gouda","NH","11","Basic","14.25","2","M","morning","Friday","17-06-2022"
"order_194","id_5017","Netherlands Nosh","Tartiflette","Zwolle","NH","18","Basic","16.67","2","M","evening","Wednesday","22-06-2022"
"order_195","id_5180","Netherlands Nibbles","Lentil Salad Mix","Emmen","NH","02","Premium","10.33","2","F","late_night","Wednesday","22-06-2022"
"order_196","id_3887","Bicycle Bites","Turkish Coffee","Gouda","NH","01","Premium","8.63","2","F","late_night","Saturday","02-07-2022"
"order_197","id_6182","Windmill Bites","Ricotta Gnocchi","Amstelveen","NH","03","Basic","13.2","2","F","late_night","Tuesday","12-07-2022"
"order_198","id_2023","Dyke Delights","Gelato Shake","Leeuwarden","NH","19","Basic","6.58","2","F","evening","Tuesday","19-07-2022"
"order_199","id_6782","Netherlands Nibbles","Goulash","Assen","NH","13","Premium","6.1","2","M","afternoon","Wednesday","20-07-2022"
"order_200","id_7151","Tasty Tides","Pizza Margherita","Almere","NH","03","Basic","16.61","2","F","late_night","Wednesday","27-07-2022"
"order_201","id_3782","Gouda Gourmet","Lurisia","Eindhoven","NH","09","Basic","15.9","2","M","morning","Friday","29-07-2022"
"order_202","id_5923","Pancake Palace","Cynar","Maastricht","NH","09","Premium","15.94","2","F","morning","Monday","01-08-2022"
"order_203","id_9647","Dutch Delicacies","Potato Salad Mix","Zwolle","NH","04","Premium","16.72","2","F","late_night","Monday","08-08-2022"
"order_204","id_7768","Tulip Treats","Grappa","Emmen","NH","05","Premium","11.35","2","M","morning","Tuesday","09-08-2022"
"order_205","id_63","Orange Oasis","Karelian Pasty","Haarlem","NH","22","Basic","6.37","2","F","night","Tuesday","09-08-2022"
"order_206","id_8534","Cheese Chalet","Kartoffelsalat","Enkhuizen","NH","14","Basic","5.09","2","F","afternoon","Wednesday","10-08-2022"
"order_207","id_3812","Gouda Grill","Lecso","Volendam","NH","11","Basic","16.13","2","F","morning","Sunday","28-08-2022"
"order_208","id_490","Leeuwarden Feasts","Quinoa","Middelburg","NH","08","Premium","14.48","2","M","morning","Sunday","04-09-2022"
"order_209","id_7592","Hague Harvest","Fougasse","Lelystad","NH","05","Premium","4.42","2","F","morning","Monday","05-09-2022"
